,word,tf-idf
0,없다,0.3308765939023252
1,보다,0.29551573653871793
2,확인,0.2399486749673351
3,가다,0.23742289944136313
4,서다,0.22226824628553146
5,거래,0.21216514418164364
6,받다,0.16670118471414858
7,사용,0.15912385813623275
8,방법,0.14396920498040106
9,아니다,0.12628877629859742
10,파일,0.12376300077262546
11,정보,0.11871144972068157
12,상품,0.11871144972068157
13,작성,0.11618567419470963
14,나오다,0.10860834761679378
15,모르다,0.09597946998693403
16,판매,0.09597946998693403
17,읽다,0.09345369446096209
18,되어다,0.09345369446096209
19,조립,0.09092791893499014
20,차량,0.08587636788304624
21,한글,0.08587636788304624
22,신분,0.08587636788304624
23,찾다,0.08082481683110235
24,제품,0.08082481683110235
25,택배,0.07829904130513039
26,않다,0.07829904130513039
27,보고,0.07829904130513039
28,들다,0.07577326577915845
29,알다,0.07577326577915845
30,취급,0.0732474902531865
31,가격,0.07072171472721456
32,드리다,0.0681959392012426
33,많다,0.06567016367527066
34,지역,0.06314438814929871
35,첨부파일,0.06314438814929871
36,다운로드,0.06061861262332676
37,책자,0.06061861262332676
38,만들다,0.05809283709735481
39,부분,0.05809283709735481
40,가지,0.05809283709735481
41,좋다,0.05809283709735481
42,희망,0.05809283709735481
43,또봇,0.05559462623684733
44,서나,0.05559462623684733
45,사항,0.055567061571382866
46,구매,0.055567061571382866
47,중개,0.05304128604541091
48,구입,0.05304128604541091
49,내용,0.05304128604541091
50,주다,0.050515510519438964
51,써다,0.050515510519438964
52,궁금하다,0.047989734993467016
53,오다,0.047989734993467016
54,해보다,0.047989734993467016
55,한번,0.047989734993467016
56,계약서,0.047989734993467016
57,이렇다,0.047989734993467016
58,필요하다,0.047989734993467016
59,기능,0.047989734993467016
60,상세,0.047989734993467016
61,박스,0.04546395946749507
62,싶다,0.04546395946749507
63,처음,0.04546395946749507
64,경우,0.04546395946749507
65,공유,0.04546395946749507
66,다운,0.04546395946749507
67,중고,0.04546395946749507
68,부품,0.04293818394152312
69,사용자,0.04293818394152312
70,계약,0.040412408415551174
71,관련,0.040412408415551174
72,안되다,0.040412408415551174
73,임차,0.03902875036597854
74,세대,0.03902875036597854
75,버리다,0.037886632889579226
76,서도,0.037886632889579226
77,찾아보다,0.037886632889579226
78,쓰다,0.037886632889579226
79,사다,0.037886632889579226
80,계시다,0.037886632889579226
81,아시,0.03536085736360728
82,오늘,0.03536085736360728
83,그렇다,0.03536085736360728
84,보내다,0.03536085736360728
85,올리다,0.03536085736360728
86,안내,0.03536085736360728
87,다시,0.03536085736360728
88,보이다,0.03536085736360728
89,임대,0.03536085736360728
90,사진,0.03536085736360728
91,전달,0.03421207768421374
92,대상,0.03283508183763533
93,매매,0.03283508183763533
94,그냥,0.03283508183763533
95,정리,0.03283508183763533
96,설치,0.03283508183763533
97,홈페이지,0.03283508183763533
98,정도,0.03283508183763533
99,적다,0.03283508183763533
100,갖다,0.03252395863831545
101,건지다,0.03030930631166338
102,생각,0.03030930631166338
103,찍다,0.03030930631166338
104,페이지,0.03030930631166338
105,부동산,0.03030930631166338
106,오류,0.03030930631166338
107,참고,0.03030930631166338
108,파다,0.029935567973687023
109,디스크,0.029935567973687023
110,런너,0.029935567973687023
111,그림,0.0292715627744839
112,관리,0.0292715627744839
113,일산,0.0292715627744839
114,해당,0.027783530785691433
115,레고,0.027783530785691433
116,해주다,0.027783530785691433
117,첨부,0.027783530785691433
118,카페,0.027783530785691433
119,정독,0.027783530785691433
120,영상,0.027783530785691433
121,추가,0.027783530785691433
122,넣다,0.027783530785691433
123,크다,0.027783530785691433
124,마음,0.027783530785691433
125,이해,0.027783530785691433
126,종이,0.027783530785691433
127,회원,0.027783530785691433
128,직거래,0.027783530785691433
129,가능하다,0.027783530785691433
130,도장,0.02601916691065236
131,밉다,0.02601916691065236
132,돌리다,0.02601916691065236
133,초보,0.02601916691065236
134,포함,0.02601916691065236
135,준비,0.02601916691065236
136,모닝,0.02601916691065236
137,점검,0.02601916691065236
138,블랙베리,0.025659058263160305
139,어렵다,0.025257755259719482
140,상태,0.025257755259719482
141,도움,0.025257755259719482
142,두다,0.025257755259719482
143,뜨다,0.025257755259719482
144,돼다,0.025257755259719482
145,이용,0.025257755259719482
146,대한,0.025257755259719482
147,모델,0.025257755259719482
148,보수,0.025257755259719482
149,실제,0.025257755259719482
150,질문,0.025257755259719482
151,스캔,0.022766771046820816
152,원하다,0.022766771046820816
153,카메라,0.022766771046820816
154,체크,0.022766771046820816
155,시스템,0.022766771046820816
156,끄다,0.022731979733747534
157,작업,0.022731979733747534
158,아래,0.022731979733747534
159,맞다,0.022731979733747534
160,표시,0.022731979733747534
161,가요,0.022731979733747534
162,번호,0.022731979733747534
163,문의,0.022731979733747534
164,링크,0.022731979733747534
165,공부,0.022731979733747534
166,먹다,0.022731979733747534
167,부탁드리다,0.022731979733747534
168,아프다,0.021382548552633586
169,공홈,0.021382548552633586
170,오븐,0.021382548552633586
171,기기,0.021382548552633586
172,빼다,0.021382548552633586
173,임대차,0.020206204207775587
174,출고,0.020206204207775587
175,독서,0.020206204207775587
176,다르다,0.020206204207775587
177,장님,0.020206204207775587
178,댓글,0.020206204207775587
179,구합,0.020206204207775587
180,문제,0.020206204207775587
181,클릭,0.020206204207775587
182,구해,0.020206204207775587
183,버전,0.020206204207775587
184,달라,0.020206204207775587
185,리모컨,0.020206204207775587
186,인터넷,0.020206204207775587
187,하나요,0.020206204207775587
188,들어가다,0.020206204207775587
189,기재,0.020206204207775587
190,기아,0.020206204207775587
191,개정,0.020206204207775587
