,word,tf-idf
0,전복,0.1609377107532698
1,리소토,0.15246730492415034
2,요리,0.150287111136002
3,출품,0.14399689909503086
4,한글,0.1355264932659114
5,조리,0.13260627453176646
6,꿀잠,0.12705608743679192
7,일손,0.12705608743679192
8,버거,0.12020697446084415
9,청정기,0.1193456470785898
10,공기,0.1193456470785898
11,방해,0.11858568160767247
12,자세하다,0.11492543792753092
13,견적,0.11492543792753092
14,추천,0.11050522877647204
15,대한,0.11050522877647204
16,가구,0.11050522877647204
17,브레마,0.11011527577855301
18,기능,0.10608501962541315
19,설명,0.10608501962541315
20,만나다,0.10166481047435427
21,사용,0.10166481047435427
22,리폼,0.0972446013232954
23,김해,0.09317446412031408
24,할인,0.09282439217223652
25,혼수,0.08840418302117764
26,가다,0.08840418302117764
27,공간,0.08840418302117764
28,고구마,0.08840418302117764
29,상담,0.08398397387011876
30,신혼,0.08398397387011876
31,버튼,0.08398397387011876
32,전체,0.08398397387011876
33,아래,0.07956376471905988
34,위치,0.07956376471905988
35,대덕대로,0.07623365246207517
36,송풍,0.07623365246207517
37,이벤트,0.075143555568001
38,주방,0.075143555568001
39,가격,0.075143555568001
40,인기,0.075143555568001
41,보고,0.075143555568001
42,상위,0.075143555568001
43,주다,0.07072334641694211
44,클릭,0.07072334641694211
45,수내역,0.0677632466329557
46,숟가락,0.0677632466329557
47,반죽,0.06630313726588323
48,가로,0.06630313726588323
49,남아,0.06487860382293274
50,방식,0.06188292811482434
51,수납,0.06188292811482434
52,백화점,0.06188292811482434
53,스팀,0.06188292811482434
54,없다,0.06188292811482434
55,제빵,0.06188292811482434
56,설치,0.06188292811482434
57,진열,0.06188292811482434
58,일찍,0.060103487230422074
59,서구,0.060103487230422074
60,얇다,0.05929284080383623
61,수인,0.05929284080383623
62,럭셀,0.05929284080383623
63,분당선,0.05929284080383623
64,여쭈다,0.05746271896376546
65,예약,0.05746271896376546
66,많다,0.05746271896376546
67,메리,0.053425321982597404
68,대리,0.053425321982597404
69,바트,0.053425321982597404
70,접근성,0.053425321982597404
71,제일,0.05304250981270658
72,전문,0.05304250981270658
73,매장,0.05304250981270658
74,특별,0.05304250981270658
75,몰다,0.05304250981270658
76,왜인,0.05082243497471677
77,무섭다,0.05082243497471677
78,잘생기다,0.05082243497471677
79,보조,0.048658952867199554
80,전기,0.0486223006616477
81,최저,0.0486223006616477
82,인테리어,0.0486223006616477
83,다니다,0.0486223006616477
84,드리다,0.0486223006616477
85,완료,0.0486223006616477
86,하얀색,0.04674715673477273
87,트이다,0.04674715673477273
88,손가락,0.04674715673477273
89,로봇,0.04420209151058882
90,해시,0.04420209151058882
91,필수,0.04420209151058882
92,결혼,0.04420209151058882
93,계약,0.04420209151058882
94,제작,0.04420209151058882
95,통해,0.04420209151058882
96,비교,0.04420209151058882
97,온도,0.04420209151058882
98,가열,0.04420209151058882
99,태그,0.04420209151058882
100,편리하다,0.04420209151058882
101,디자인,0.04420209151058882
102,넣다,0.04420209151058882
103,싱크대,0.04420209151058882
104,갖추다,0.04420209151058882
105,익히다,0.04420209151058882
106,서랍,0.04420209151058882
107,직원,0.04420209151058882
108,대전,0.04420209151058882
109,광복,0.04325240254862183
110,사각,0.04325240254862183
111,턴테이블,0.04325240254862183
112,칼집,0.04235202914559732
113,안락하다,0.04235202914559732
114,로시,0.04235202914559732
115,주안동,0.040068991486948057
116,일본,0.040068991486948057
117,테두리,0.040068991486948057
118,다지다,0.040068991486948057
119,검색어,0.040068991486948057
120,집안일,0.040068991486948057
121,업체,0.03978188235952994
122,빌트,0.03978188235952994
123,주소,0.03978188235952994
124,티브이,0.03978188235952994
125,용량,0.03978188235952994
126,아니다,0.03978188235952994
127,하부,0.03978188235952994
128,레이,0.03978188235952994
129,관련,0.03978188235952994
130,모델,0.03978188235952994
131,작업,0.03978188235952994
132,웨딩,0.03978188235952994
133,않다,0.03978188235952994
134,소개,0.03978188235952994
135,전력,0.0378458522300441
136,거기,0.0378458522300441
137,로보락,0.0378458522300441
138,자동,0.035361673208471056
139,금액,0.035361673208471056
140,졸업,0.035361673208471056
141,리뷰,0.035361673208471056
142,공개,0.035361673208471056
143,기구,0.035361673208471056
144,가능하다,0.035361673208471056
145,식품,0.035361673208471056
146,오픈,0.035361673208471056
147,건강하다,0.035361673208471056
148,공식,0.035361673208471056
149,알아보다,0.035361673208471056
150,공유,0.035361673208471056
151,찾다,0.035361673208471056
152,키친,0.035361673208471056
153,빠르다,0.035361673208471056
154,외관,0.035361673208471056
155,참여,0.035361673208471056
156,망설이다,0.035361673208471056
157,레드,0.035361673208471056
158,페어,0.035361673208471056
159,선반,0.035361673208471056
160,조절,0.035361673208471056
161,자리,0.035361673208471056
162,성인병,0.03388162331647785
163,밀리,0.03388162331647785
164,금요일,0.03388162331647785
165,화장품,0.03388162331647785
166,창가,0.03388162331647785
167,컨설팅,0.03339082623912337
168,전문점,0.03339082623912337
169,바로가기,0.03339082623912337
170,영양,0.03339082623912337
171,목재,0.03339082623912337
172,협의,0.03339082623912337
173,신용,0.03339082623912337
174,쇼핑몰,0.03243930191146637
175,앤홈,0.03243930191146637
176,잡고,0.03243930191146637
177,사이트,0.03243930191146637
178,친척,0.03243930191146637
179,마켓,0.03243930191146637
180,야채,0.03243930191146637
181,언니,0.03243930191146637
182,필웰,0.03243930191146637
183,주시,0.03094146405741217
184,균일하다,0.03094146405741217
185,상품권,0.03094146405741217
186,행사,0.03094146405741217
187,검색,0.03094146405741217
188,두다,0.03094146405741217
189,옵션,0.03094146405741217
190,강남,0.03094146405741217
