Action,satisfaction,importance,opportunity
Actor0_Action4,-4.305271463458578,2.573248407643313,2.573248407643313
Actor0_Action1,10.0,10.000000000000002,10.000000000000002
Actor0_Action2,-2.6475156964191306,5.687898089171975,5.687898089171975
Actor0_Action3,1.8977780753261086,3.509554140127389,3.509554140127389
Actor0_Action5,-1.3942801683452082,1.3439490445859872,1.3439490445859872
Actor1_Action2,-6.637367788917679,6.363057324840764,6.363057324840764
Actor1_Action1,9.440927239432092,7.605095541401276,9.440927239432092
Actor1_Action3,-4.387628121905742,4.611464968152866,4.611464968152866
Actor2_Action3,-4.3964076599340665,0.24840764331210208,0.24840764331210208
Actor2_Action4,-10.0,0.07006369426751591,0.07006369426751591
Actor2_Action1,0.9800206491733761,0.7006369426751595,0.9800206491733761
Actor2_Action5,-3.1982946935255967,0.0,0.0
Actor2_Action2,-5.855516918894725,0.7452229299363058,0.7452229299363058
